overall_rank,amfi_code,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,ann_return_pct,ann_vol_pct,alpha_ann_pct,beta,tracking_error_pct,max_drawdown_pct,scheme_name,fund_house,sub_category,plan,expense_ratio_pct,category,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_maxdd,score_3yr,score_sharpe,score_alpha,score_expense,score_maxdd,composite_score
11,118632,33.98,22.65,20.88,0.7589,15.59,11.98,21.8294,-0.0084,19.2115,-17.41,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,1.51,Equity,27.0,33.0,30.0,16.5,23.0,67.5,82.5,75.0,41.25,57.49999999999999,67.81
12,149323,21.48,26.87,25.61,0.8329,19.01,15.02,26.5986,-0.0025,21.9521,-17.25,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,1.61,Equity,30.0,35.0,33.0,3.0,22.0,75.0,87.5,82.5,7.5,55.00000000000001,67.5
13,101206,47.92,28.97,20.44,0.7174,15.35,12.33,21.3998,0.0211,19.2706,-11.29,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,1.6,Equity,32.0,31.0,29.0,4.5,9.0,80.0,77.5,72.5,11.25,22.5,61.81
14,118633,25.54,21.09,14.19,0.3888,11.1,11.84,15.6438,-0.0366,19.3449,-18.63,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,0.72,Equity,26.0,20.0,20.0,35.5,26.0,65.0,50.0,50.0,88.75,65.0,61.81
15,119552,5.71,16.27,18.71,0.6482,14.15,11.8,19.8686,-0.0262,19.2127,-11.8,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,0.66,Equity,18.0,27.0,26.0,37.0,11.0,45.0,67.5,65.0,92.5,27.500000000000004,60.0
16,125497,28.68,18.43,16.56,0.5063,12.78,12.41,17.7298,0.0488,19.1072,-15.2,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,0.92,Equity,22.0,23.0,24.0,27.0,18.0,55.00000000000001,57.49999999999999,60.0,67.5,45.0,57.5
17,120506,41.82,18.42,14.89,0.4046,11.71,12.89,15.2088,0.0548,20.0781,-19.83,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,1.41,Equity,21.0,22.0,19.0,22.0,27.0,52.5,55.00000000000001,47.5,55.00000000000001,67.5,54.0
18,119093,19.77,20.82,6.92,-0.0471,5.94,11.82,8.2328,0.0259,18.79,-21.75,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,0.75,Equity,25.0,13.0,13.0,33.0,31.0,62.5,32.5,32.5,82.5,77.5,53.5
19,118635,22.49,20.01,13.91,0.3932,10.82,10.99,15.1606,-0.0138,18.4038,-11.65,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,0.89,Equity,24.0,21.0,18.0,28.0,10.0,60.0,52.5,45.0,70.0,25.0,53.12
20,148568,14.27,14.75,19.57,0.6407,14.87,13.06,20.873,-0.0264,20.3213,-15.27,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,1.52,Equity,17.0,26.0,27.0,14.5,19.0,42.5,65.0,67.5,36.25,47.5,52.69
21,102887,13.58,25.56,14.68,0.3846,11.63,13.33,16.5835,-0.015,21.1266,-21.54,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,1.64,Equity,28.0,19.0,21.0,1.5,30.0,70.0,47.5,52.5,3.75,75.0,51.44
22,120503,8.49,13.98,16.36,0.5166,12.57,11.75,17.7033,-0.0403,19.2948,-13.9,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,1.42,Equity,16.0,24.0,23.0,21.0,14.0,40.0,60.0,57.49999999999999,52.5,35.0,49.88
23,102885,20.21,19.67,15.88,0.5198,12.15,10.86,16.9927,-0.0019,18.1926,-10.86,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,1.57,Equity,23.0,25.0,22.0,7.0,7.0,57.49999999999999,62.5,55.00000000000001,17.5,17.5,48.25
24,125498,15.44,11.25,9.88,0.1348,8.59,15.52,11.9891,0.0091,22.3592,-21.12,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,0.78,Equity,15.0,15.0,15.0,31.0,29.0,37.5,37.5,37.5,77.5,72.5,47.0
25,118634,15.81,8.01,14.27,0.2923,12.74,21.35,17.8177,0.0001,33.5755,-23.34,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,1.53,Equity,14.0,18.0,25.0,12.5,32.0,35.0,45.0,62.5,31.25,80.0,46.94
26,149322,18.11,18.04,11.7,0.2397,9.41,12.14,13.1732,-0.0041,19.3264,-14.84,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,1.54,Equity,20.0,16.0,17.0,10.5,16.0,50.0,40.0,42.5,26.25,40.0,41.44
27,120841,16.84,17.27,11.82,0.2551,9.41,11.39,13.0429,0.0364,18.3119,-17.57,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,1.59,Equity,19.0,17.0,16.0,6.0,24.0,47.5,42.5,40.0,15.0,60.0,41.12
28,120842,22.5,7.76,5.87,-0.0582,5.62,15.13,7.8044,0.0181,21.9169,-24.0,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,1.56,Equity,13.0,12.0,12.0,8.0,33.0,32.5,30.0,30.0,20.0,82.5,34.5
29,119599,13.95,-1.34,1.81,-0.1362,3.63,21.1,4.7784,0.0113,33.192,-52.57,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,0.72,Equity,3.0,10.0,4.0,35.5,40.0,7.5,25.0,10.0,88.75,100.0,33.81
30,101207,-23.99,-4.15,6.95,0.0526,7.65,21.81,11.9693,-0.0486,34.6899,-35.45,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,1.53,Equity,2.0,14.0,14.0,12.5,38.0,5.0,35.0,35.0,31.25,95.0,31.44
31,120507,7.43,7.39,6.34,-3.6502,4.82,0.46,6.7462,-0.0004,12.9044,-0.1,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,0.74,Debt,12.0,3.0,10.0,34.0,1.0,30.0,7.5,25.0,85.0,2.5,28.88
32,120844,7.12,6.7,6.06,-4.0003,4.61,0.47,6.4557,-0.0004,12.9046,-0.12,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,0.6,Debt,11.0,2.0,9.0,38.0,2.0,27.500000000000004,5.0,22.5,95.0,5.0,28.75
33,119095,-42.8,-11.71,1.34,-0.1517,3.29,21.19,5.7895,-0.0456,34.1065,-51.68,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,1.38,Equity,1.0,9.0,7.0,24.0,39.0,2.5,22.5,17.5,60.0,97.5,28.62
34,118636,10.45,4.06,4.66,-0.8506,3.63,3.37,5.0748,0.0013,13.4758,-8.32,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,0.55,Debt,8.0,5.0,5.0,40.0,6.0,20.0,12.5,12.5,100.0,15.0,28.12
35,119120,5.52,5.84,5.16,-0.7431,4.0,3.36,5.6209,-0.0064,13.5646,-4.33,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,0.77,Debt,9.0,6.0,6.0,32.0,5.0,22.5,15.0,15.0,80.0,12.5,26.75
36,100025,3.7,3.92,3.91,-1.0399,3.06,3.3,4.2818,0.0012,13.4535,-4.31,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,0.56,Debt,7.0,4.0,3.0,39.0,4.0,17.5,10.0,7.5,97.5,10.0,24.88
37,101208,7.24,6.32,5.71,-4.6504,4.35,0.46,6.0861,0.0003,12.8957,-0.16,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,0.79,Debt,10.0,1.0,8.0,30.0,3.0,25.0,2.5,20.0,75.0,7.5,24.12
38,102886,-16.8,-0.77,1.03,-0.2949,1.98,15.33,2.8969,-0.0421,22.5608,-28.0,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,1.51,Equity,4.0,8.0,1.0,16.5,35.0,10.0,20.0,2.5,41.25,87.5,23.44
39,100016,-2.22,1.29,2.32,-0.321,2.55,12.3,3.7476,-0.0583,19.9284,-24.73,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,1.55,Equity,6.0,7.0,2.0,9.0,34.0,15.0,17.5,5.0,22.5,85.0,21.75
40,119092,1.61,0.53,5.58,-0.131,4.95,11.8,6.8995,0.0097,18.9082,-14.4,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,1.64,Equity,5.0,11.0,11.0,1.5,15.0,12.5,27.500000000000004,27.500000000000004,3.75,37.5,20.44
